Thu Apr  3 23:16:18 2014    profil_no-ruler

         248409 function calls (247719 primitive calls) in 32.205 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    0.005    0.005 Lathe.py:1(<module>)
        1    0.005    0.005    0.059    0.059 util.py:4(<module>)
        4    0.005    0.001    0.005    0.001 sre_compile.py:258(_mk_bitmap)
        1    0.004    0.004    0.005    0.005 Sphere.py:1(<module>)
        1    0.004    0.004    0.015    0.015 numerictypes.py:300(_add_aliases)
        1    0.004    0.004    0.004    0.004 Cuboid.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Tetrahedron.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Triangle.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Extrude.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Pngfont.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Plane.py:1(<module>)
       27    0.004    0.000    0.419    0.016 sre_compile.py:495(compile)
        1    0.004    0.004    0.005    0.005 DisplayOpenGL.py:16(__init__)
        4    0.004    0.001    0.054    0.014 Shader.py:87(make_shader)
        1    0.004    0.004    0.004    0.004 Cone.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Points.py:1(<module>)
        1    0.004    0.004    0.004    0.004 TCone.py:1(<module>)
        1    0.004    0.004    0.004    0.004 loaderEgg.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Tube.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Defocus.py:1(<module>)
        1    0.004    0.004    0.016    0.016 EventHandler.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Torus.py:1(<module>)
        1    0.004    0.004    0.004    0.004 suite.py:1(<module>)
       27    0.004    0.000    0.224    0.008 sre_parse.py:663(parse)
        1    0.004    0.004    0.021    0.021 arraysetops.py:25(<module>)
      258    0.004    0.000    0.004    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.004    0.004    0.005    0.005 Screenshot.py:1(<module>)
        2    0.004    0.002    0.005    0.003 _iotools.py:312(validate)
        1    0.004    0.004    0.035    0.035 DisplayOpenGL.py:32(create_display)
        1    0.004    0.004    0.006    0.006 base64.py:3(<module>)
        1    0.004    0.004    0.011    0.011 __init__.py:28(initscr)
        1    0.004    0.004    0.004    0.004 Gui.py:1(<module>)
        3    0.004    0.001    0.185    0.062 util.py:185(_findSoname_ldconfig)
        2    0.004    0.002    0.267    0.134 osd.py:137(set_value)
        3    0.003    0.001    0.058    0.019 _datasource.py:250(_isurl)
       12    0.003    0.000    0.003    0.000 ctypeslib.py:306(prep_simple)
        1    0.003    0.003    0.016    0.016 result.py:1(<module>)
        4    0.003    0.001    0.011    0.003 Shader.py:135(showshaderlog)
       51    0.003    0.000    0.015    0.000 __init__.py:375(__getattr__)
       12    0.003    0.000    0.137    0.011 Sprite.py:8(__init__)
      218    0.003    0.000    0.003    0.000 sre_parse.py:90(__init__)
        1    0.003    0.003    0.004    0.004 __init__.py:10(<module>)
       12    0.003    0.000    0.008    0.001 abc.py:148(__subclasscheck__)
        1    0.003    0.003    0.094    0.094 _internal.py:4(<module>)
       31    0.003    0.000    0.004    0.000 _inspect.py:59(getargs)
      518    0.003    0.000    0.003    0.000 Loadable.py:69(_unload_opengl)
        4    0.003    0.001    0.015    0.004 __init__.py:349(__init__)
        2    0.003    0.002    0.078    0.039 Image.py:564(tostring)
       26    0.003    0.000    0.005    0.000 core.py:816(__init__)
      356    0.003    0.000    0.003    0.000 {method 'release' of 'thread.lock' objects}
        1    0.003    0.003    0.010    0.010 loader.py:1(<module>)
       64    0.003    0.000    0.004    0.000 sre_parse.py:257(_escape)
       74    0.003    0.000    0.003    0.000 _inspect.py:150(strseq)
        4    0.003    0.001    0.006    0.002 {__import__}
        1    0.003    0.003    0.366    0.366 type_check.py:3(<module>)
      544    0.003    0.000    0.003    0.000 Loadable.py:65(_load_opengl)
        1    0.003    0.003    0.009    0.009 extras.py:10(<module>)
        1    0.003    0.003    0.029    0.029 polynomial.py:3(<module>)
        1    0.003    0.003    0.004    0.004 runner.py:1(<module>)
        1    0.003    0.003    0.022    0.022 ImageFile.py:30(<module>)
        1    0.003    0.003    0.003    0.003 fftpack.py:32(<module>)
        1    0.003    0.003    0.003    0.003 ImageDraw.py:33(<module>)
        5    0.003    0.001    0.003    0.001 Ctypes.py:23(c_ints)
        1    0.002    0.002    0.003    0.003 _iotools.py:1(<module>)
        1    0.002    0.002    0.007    0.007 main.py:1(<module>)
       55    0.002    0.000    0.004    0.000 utils.py:157(deprecate)
        1    0.002    0.002    1.966    1.966 osd.py:2(<module>)
        1    0.002    0.002    0.017    0.017 utils.py:1(<module>)
      160    0.002    0.000    0.003    0.000 collections.py:328(<genexpr>)
       38    0.002    0.000    0.002    0.000 _weakrefset.py:36(__init__)
