Thu Apr  3 23:52:07 2014    profil_all_nonumpy

         274136 function calls (273512 primitive calls) in 41.506 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    0.005    0.005 loaderEgg.py:1(<module>)
        1    0.004    0.004    0.005    0.005 Shader.py:1(<module>)
        4    0.004    0.001    0.005    0.001 sre_compile.py:258(_mk_bitmap)
        1    0.004    0.004    0.004    0.004 Points.py:1(<module>)
        1    0.004    0.004    0.004    0.004 ShadowCaster.py:1(<module>)
        1    0.004    0.004    0.004    0.004 TCone.py:1(<module>)
      259    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
        1    0.004    0.004    0.014    0.014 numerictypes.py:300(_add_aliases)
        1    0.004    0.004    0.004    0.004 Sphere.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Cone.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Cylinder.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Lathe.py:1(<module>)
        4    0.004    0.001    0.053    0.013 Shader.py:87(make_shader)
        1    0.004    0.004    0.004    0.004 Pngfont.py:1(<module>)
       63    0.004    0.000    0.018    0.000 __init__.py:375(__getattr__)
        1    0.004    0.004    0.054    0.054 util.py:4(<module>)
        1    0.004    0.004    0.004    0.004 Torus.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Triangle.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Cuboid.py:1(<module>)
        1    0.004    0.004    0.028    0.028 DisplayOpenGL.py:32(create_display)
        1    0.004    0.004    0.004    0.004 Tetrahedron.py:1(<module>)
       25    0.004    0.000    0.387    0.015 sre_compile.py:495(compile)
        1    0.004    0.004    0.005    0.005 Screenshot.py:1(<module>)
        1    0.004    0.004    0.004    0.004 suite.py:1(<module>)
        1    0.004    0.004    0.004    0.004 Tube.py:1(<module>)
        1    0.004    0.004    0.020    0.020 arraysetops.py:25(<module>)
        1    0.004    0.004    0.005    0.005 __init__.py:10(<module>)
        1    0.004    0.004    0.017    0.017 EventHandler.py:1(<module>)
       31    0.004    0.000    0.005    0.000 Shape.py:539(rotateToZ)
       38    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
      258    0.004    0.000    0.004    0.000 {numpy.lib._compiled_base.add_docstring}
      140    0.004    0.000    0.004    0.000 {range}
       25    0.004    0.000    0.205    0.008 sre_parse.py:663(parse)
        1    0.004    0.004    0.017    0.017 result.py:1(<module>)
        1    0.003    0.003    0.004    0.004 Gui.py:1(<module>)
       12    0.003    0.000    0.008    0.001 abc.py:148(__subclasscheck__)
        1    0.003    0.003    0.004    0.004 DisplayOpenGL.py:16(__init__)
        1    0.003    0.003    0.098    0.098 _internal.py:4(<module>)
        1    0.003    0.003    0.003    0.003 polyutils.py:33(<module>)
        1    0.003    0.003    0.013    0.013 __init__.py:28(initscr)
       31    0.003    0.000    0.004    0.000 _inspect.py:59(getargs)
      204    0.003    0.000    0.003    0.000 sre_parse.py:90(__init__)
        1    0.003    0.003    0.010    0.010 loader.py:1(<module>)
        4    0.003    0.001    0.014    0.004 __init__.py:349(__init__)
        1    0.003    0.003    0.030    0.030 polynomial.py:3(<module>)
        1    0.003    0.003    0.004    0.004 runner.py:1(<module>)
       26    0.003    0.000    0.005    0.000 core.py:816(__init__)
        1    0.003    0.003    0.007    0.007 main.py:1(<module>)
        4    0.003    0.001    0.006    0.002 {__import__}
        2    0.003    0.001    0.081    0.040 Image.py:564(tostring)
        1    0.003    0.003    0.003    0.003 _iotools.py:1(<module>)
       31    0.003    0.000    0.724    0.023 Display.py:80(loop_running)
        1    0.003    0.003    0.009    0.009 extras.py:10(<module>)
        1    0.003    0.003    0.367    0.367 type_check.py:3(<module>)
        4    0.003    0.001    0.010    0.002 Shader.py:135(showshaderlog)
        1    0.003    0.003    0.026    0.026 ImageFile.py:30(<module>)
       62    0.003    0.000    0.004    0.000 sre_parse.py:257(_escape)
       74    0.003    0.000    0.003    0.000 _inspect.py:150(strseq)
        1    0.003    0.003    0.003    0.003 ImageDraw.py:33(<module>)
       12    0.003    0.000    0.003    0.000 ctypeslib.py:306(prep_simple)
        1    0.002    0.002    0.002    0.002 fftpack.py:32(<module>)
        1    0.002    0.002    1.979    1.979 osd.py:2(<module>)
        1    0.002    0.002    0.011    0.011 PngImagePlugin.py:34(<module>)
       23    0.002    0.000    0.017    0.001 core.py:5919(getdoc)
       55    0.002    0.000    0.004    0.000 utils.py:157(deprecate)
        3    0.002    0.001    0.002    0.001 __init__.py:78(CFUNCTYPE)
       30    0.002    0.000    0.002    0.000 numerictypes.py:448(_add_array_type)
       31    0.002    0.000    0.003    0.000 Display.py:191(clear)
        1    0.002    0.002    0.002    0.002 threading.py:424(Thread)
        1    0.002    0.002    0.016    0.016 utils.py:1(<module>)
        2    0.002    0.001    0.002    0.001 {built-in method keypad}
       19    0.002    0.000    0.005    0.000 nosetester.py:138(__init__)
        1    0.002    0.002    0.002    0.002 GifImagePlugin.py:28(<module>)
       40    0.002    0.000    0.021    0.001 core.py:106(get_object_signature)
        1    0.002    0.002    0.002    0.002 records.py:36(<module>)
       40    0.002    0.000    0.009    0.000 _inspect.py:118(getargspec)
       14    0.002    0.000    0.003    0.000 __init__.py:147(_check_size)
       35    0.002    0.000    0.002    0.000 _weakrefset.py:36(__init__)
       11    0.002    0.000    0.003    0.000 __init__.py:1052(_fixupParents)
       18    0.002    0.000    0.003    0.000 core.py:900(__init__)
      165    0.002    0.000    0.002    0.000 {setattr}
        1    0.002    0.002    0.002    0.002 __init__.py:1670(NullHandler)
       11    0.002    0.000    0.010    0.001 __init__.py:1006(getLogger)
        1    0.002    0.002    0.002    0.002 defchararray.py:17(<module>)
        3    0.002    0.001    0.002    0.001 __init__.py:493(PYFUNCTYPE)
       25    0.002    0.000    0.176    0.007 sre_compile.py:480(_code)
        1    0.002    0.002    0.004    0.004 numerictypes.py:456(_set_array_types)
        1    0.002    0.002    0.003    0.003 numerictypes.py:284(_add_types)
        1    0.002    0.002    0.002    0.002 _endian.py:4(<module>)
       52    0.002    0.000    0.002    0.000 sre_parse.py:72(opengroup)
      256    0.002    0.000    0.002    0.000 {chr}
       21    0.002    0.000    0.002    0.000 numerictypes.py:219(_evalname)
       31    0.002    0.000    0.006    0.000 osd.py:101(set_rotation)
      424    0.002    0.000    0.002    0.000 {ord}
       31    0.002    0.000    0.011    0.000 Keyboard.py:23(read)
       61    0.001    0.000    0.007    0.000 threading.py:154(__exit__)
        1    0.001    0.001    0.002    0.002 EventStruct.py:1(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:265(_reset_cache)
       50    0.001    0.000    0.002    0.000 sre_compile.py:474(isstring)
        1    0.001    0.001    0.001    0.001 Ball.py:1(<module>)
       19    0.001    0.000    0.002    0.000 posixpath.py:127(dirname)
       75    0.001    0.000    0.001    0.000 {method 'acquire' of 'thread.lock' objects}
        4    0.001    0.000    0.001    0.000 {map}
       74    0.001    0.000    0.002    0.000 numerictypes.py:130(english_lower)
        1    0.001    0.001    0.002    0.002 core.py:2568(MaskedArray)
        1    0.001    0.001    0.186    0.186 Texture.py:94(_load_disk)
        1    0.001    0.001    0.002    0.002 numerictypes.py:785(_construct_lookups)
      151    0.001    0.000    0.001    0.000 threading.py:63(_note)
       12    0.001    0.000    0.002    0.000 __init__.py:1108(__init__)
        1    0.001    0.001    0.001    0.001 ascii.py:8(<module>)
        2    0.001    0.001    0.001    0.001 {_ctypes.POINTER}
       19    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       50    0.001    0.000    0.003    0.000 abc.py:89(<genexpr>)
        1    0.001    0.001    0.001    0.001 AbsAxisScaling.py:1(<module>)
        1    0.001    0.001    0.007    0.007 PpmImagePlugin.py:18(<module>)
       36    0.001    0.000    0.002    0.000 six.py:95(__init__)
        1    0.001    0.001    0.001    0.001 FindDevices.py:1(<module>)
       24    0.001    0.000    0.003    0.000 _weakrefset.py:58(__iter__)
        1    0.001    0.001    0.020    0.020 platform.py:1018(_syscmd_uname)
        1    0.001    0.001    0.012    0.012 parse_mtl.py:1(<module>)
        1    0.001    0.001    0.001    0.001 signals.py:1(<module>)
        1    0.001    0.001    0.018    0.018 difflib.py:29(<module>)
        1    0.001    0.001    0.019    0.019 numbers.py:6(<module>)
       12    0.001    0.000    0.010    0.001 abc.py:105(register)
       61    0.001    0.000    0.001    0.000 Display.py:299(_for_each_sprite)
        1    0.001    0.001    0.001    0.001 {PIL._imagingft.getfont}
        1    0.001    0.001    0.205    0.205 platform.py:10(<module>)
       23    0.001    0.000    0.001    0.000 sre_parse.py:225(_class_escape)
       60    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 numerictypes.py:341(_add_integer_aliases)
        5    0.001    0.000    0.001    0.000 {open}
       95    0.001    0.000    0.001    0.000 sre_parse.py:134(__setitem__)
        1    0.001    0.001    0.001    0.001 ImageOps.py:20(<module>)
    63/51    0.001    0.000    0.009    0.000 {issubclass}
       52    0.001    0.000    0.001    0.000 sre_parse.py:83(closegroup)
        9    0.001    0.000    0.001    0.000 sre_parse.py:216(isname)
       30    0.001    0.000    0.006    0.000 Display.py:313(swap_buffers)
        1    0.001    0.001    0.001    0.001 memmap.py:1(<module>)
        1    0.001    0.001    0.002    0.002 Loadable.py:1(<module>)
        1    0.001    0.001    0.001    0.001 getlimits.py:2(<module>)
        1    0.001    0.001    0.001    0.001 {_curses.endwin}
       25    0.001    0.000    0.001    0.000 {_sre.compile}
        1    0.001    0.001    0.001    0.001 arrayterator.py:9(<module>)
        1    0.001    0.001    0.001    0.001 _import_tools.py:1(<module>)
       61    0.001    0.000    0.001    0.000 collections.py:328(<genexpr>)
       23    0.001    0.000    0.018    0.001 core.py:5915(__init__)
        1    0.001    0.001    0.002    0.002 Mouse.py:1(<module>)
        1    0.001    0.001    0.001    0.001 numpytest.py:1(<module>)
        1    0.001    0.001    0.072    0.072 ImageFile.py:125(load)
        1    0.001    0.001    0.001    0.001 {_curses.setupterm}
       21    0.001    0.000    0.001    0.000 {numpy.core.multiarray.empty}
       43    0.001    0.000    0.001    0.000 _inspect.py:161(<lambda>)
       40    0.001    0.000    0.001    0.000 _inspect.py:13(ismethod)
       25    0.001    0.000    0.002    0.000 sre_parse.py:178(__init__)
        4    0.001    0.000    0.001    0.000 {method 'close' of 'file' objects}
       76    0.001    0.000    0.001    0.000 {_sre.getlower}
        1    0.001    0.001    0.002    0.002 <string>:2(<module>)
       48    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        1    0.001    0.001    0.001    0.001 numerictypes.py:433(_construct_char_code_lookup)
        1    0.001    0.001    0.001    0.001 scimath.py:17(<module>)
        1    0.001    0.001    0.001    0.001 format.py:136(<module>)
        4    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.001    0.001    0.005    0.005 Camera.py:15(__init__)
       24    0.001    0.000    0.001    0.000 _weakrefset.py:81(add)
